Controller,Scenario,Metric,T0=0.5-Full,T0=0.5-Over,T0=0.5-Under,T0=2.0-Full,T0=2.0-Over,T0=2.0-Under,T0=4.0-Full,T0=4.0-Over,T0=4.0-Under
PI,SP change,IAE,634.875196,634.875196,634.875196,635.205558,635.205558,635.205558,635.599570,635.599570,635.599570
PI,SP change,Max Overshoot,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PI,SP change,Max Delta U,30.150000,30.150000,30.150000,30.150000,30.150000,30.150000,30.150000,30.150000,30.150000
PI,Disturbance,IAE,301.139434,301.139434,301.139434,300.993774,300.993774,300.993774,300.820344,300.820344,300.820344
PI,Disturbance,Max Overshoot,6.763554,6.763554,6.763554,7.680369,7.680369,7.680369,9.619460,9.619460,9.619460
PI,Disturbance,Max Delta U,0.298963,0.298963,0.298963,0.298942,0.298942,0.298942,0.298917,0.298917,0.298917
Q before learning,SP change,IAE,691.211153,691.211153,691.211153,649.675105,649.675105,649.675105,625.887072,625.887072,625.887072
Q before learning,SP change,Max Overshoot,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Q before learning,SP change,Max Delta U,29.169363,29.169363,29.169363,29.169363,29.169363,29.169363,29.169363,29.169363,29.169363
Q before learning,Disturbance,IAE,352.725822,352.725822,352.725822,335.828802,335.828802,335.828802,317.334391,317.334391,317.334391
Q before learning,Disturbance,Max Overshoot,7.077587,7.077587,7.077587,8.038238,8.038238,8.038238,9.819972,9.819972,9.819972
Q before learning,Disturbance,Max Delta U,0.310945,0.310945,0.310945,0.312220,0.312220,0.312220,0.314990,0.314990,0.314990
Q after learning,SP change,IAE,271.537985,268.463620,294.790312,340.252725,344.112401,343.028062,526.749351,547.948170,490.445118
Q after learning,SP change,Max Overshoot,0.000000,0.000000,0.363359,0.000000,0.122430,0.000000,0.000000,2.027963,0.428463
Q after learning,SP change,Max Delta U,29.169363,29.169363,29.169363,29.169363,29.169363,29.169363,29.169363,29.169363,29.169363
Q after learning,Disturbance,IAE,71.338852,83.551551,89.302321,135.389785,113.554943,125.586267,237.451707,437.182174,198.739160
Q after learning,Disturbance,Max Overshoot,4.528332,5.419318,4.956216,7.804173,6.573499,8.493042,9.774864,10.308332,9.155373
Q after learning,Disturbance,Max Delta U,0.444034,0.420557,0.383269,0.535356,0.760766,0.803635,0.314389,0.340667,0.312015
